 "word","cnt","feetscore","feettype" 
 ABROGATED,4,1-0-2-0,mud 
 ABROGATING,4,1-0-2-0,mud 
 ABROGATION,4,2-0-1-0,mud 
 ABROL,2,0-1,mud 
 ABRON,2,0-1,mud 
 ABRUPT,2,0-1,mud 
 ABRUPTLY,3,0-1-0,mud 
 ABRUPTNESS,3,0-1-0,mud 
 ABRUTYN,3,1-0-0,mud 
 ABRUZZESE,4,0-0-1-0,mud 
 ABRUZZO,3,0-1-0,mud 
 ABS,3,1-1-1,mud 
 ABSALOM,3,1-0-0,mud 
 ABSARAKA,4,0-1-0-0,mud 
 ABSCAM,2,1-0,mud 
 ABSCESS,2,1-2,mud 
 ABSCOND,2,0-1,mud 
 ABSCONDED,3,0-1-0,mud 
 ABSCONDING,3,0-1-0,mud 
 ABSCONDS,2,0-1,mud 
 ABSECON,3,1-0-0,mud 
 ABSENCE,2,1-0,mud 
 ABSENCES,3,1-0-0,mud 
 ABSENT,2,1-0,mud 
 ABSENTEE,3,2-0-1,mud 
 ABSENTEEISM,5,2-0-1-0-0,mud 
 ABSENTEES,3,2-0-1,mud 
 ABSENTIA,3,0-1-0,mud 
 ABSHER,2,1-0,mud 
 ABSHIER,3,1-0-0,mud 
 ABSHIRE,2,1-2,mud 
 ABSINTHE,2,1-0,mud 
 ABSO,2,1-0,mud 
 ABSOLOM,3,1-0-0,mud 
 ABSOLUT,3,2-0-1,mud 
 ABSOLUTE,3,1-0-2,mud 
 ABSOLUTELY,4,2-0-1-0,mud 
 ABSOLUTENESS,4,1-0-2-0,mud 
 ABSOLUTES,3,1-0-2,mud 
 ABSOLUTION,4,2-0-1-0,mud 
 ABSOLUTISM,5,1-0-2-2-0,mud 
 ABSOLUTIST,4,0-0-1-0,mud 
 ABSOLVE,2,0-1,mud 
 ABSOLVED,2,0-1,mud 
 ABSOLVES,2,0-1,mud 
 ABSOLVING,3,0-1-0,mud 
 ABSORB,2,0-1,mud 
 ABSORBED,2,0-1,mud 
 ABSORBENCY,4,0-1-0-0,mud 
 ABSORBENT,3,0-1-0,mud 
 ABSORBER,3,0-1-0,mud 
 ABSORBERS,3,0-1-0,mud 
 ABSORBING,3,0-1-0,mud 
 ABSORBS,2,0-1,mud 
 ABSORPTION,3,0-1-0,mud 
 ABSTAIN,2,0-1,mud 
 ABSTAINED,2,0-1,mud 
 ABSTAINING,3,0-1-0,mud 
 ABSTENTION,3,0-1-0,mud 
 ABSTENTIONS,3,0-1-0,mud 
 ABSTINENCE,3,1-0-0,mud 
 ABSTINENT,3,1-0-0,mud 
 ABSTON,2,1-0,mud 
 ABSTRACT,2,0-1,mud 
 ABSTRACTED,3,1-2-0,mud 
 ABSTRACTION,3,0-1-0,mud 
 ABSTRACTIONS,3,0-1-0,mud 
 ABSTRACTS,2,1-0,mud 
 ABSTRUSE,2,0-1,mud 
 ABSURD,2,0-1,mud 
 ABSURDIST,3,0-1-0,mud 
 ABSURDITIES,4,0-1-0-0,mud 
 ABSURDITY,4,0-1-0-0,mud 
 ABSURDLY,3,0-1-0,mud 
 ABT,1,1,mud 
 ABTS,1,1,mud 
 ABU,2,1-0,mud 
 ABUDRAHM,3,0-1-0,mud 
 ABUELLAH,3,0-1-0,mud 
 ABULADZE,4,2-0-1-0,mud 
 ABUNDANCE,3,0-1-0,mud 
 ABUNDANT,3,0-1-0,mud 
 ABUNDANTLY,4,0-1-0-0,mud 
 ABURTO,3,0-1-2,mud 
 ABUSE,2,0-1,mud 
 ABUSED,2,0-1,mud 
 ABUSER,3,0-1-0,mud 
 ABUSERS,3,0-1-0,mud 
 ABUSES,3,0-1-0,mud 
 ABUSING,3,0-1-0,mud 
 ABUSIVE,3,0-1-0,mud 
 ABUT,2,0-1,mud 
 ABUTS,2,0-1,mud 
 ABUTTED,3,0-1-0,mud 
 ABUTTING,3,0-1-0,mud 
 ABUZZ,2,0-1,mud 
 ABYSMAL,3,0-1-0,mud 
 ABYSMALLY,4,0-1-0-0,mud 
 ABYSS,2,0-1,mud 
